"ReferenceGlobalID","ReferenceValue","ReferenceName","ReferenceDescription","ReferenceUnit","ReferenceOrder","ReferenceType","Data"
2,"INIC","HospitalUnit","9 bed intermediate care ward",,0,0,
3,"CWIN","HospitalUnit","14 bed intensive care ward",,0,0,
4,"INBD","HospitalUnit","9 bed intensive care ward",,0,0,
5,"INID","HospitalUnit","9 bed mixed ward (intermediate care, non-invasive-ventilation possible)",,0,0,
6,"CWOP","HospitalUnit",,,0,0,
7,"AAKU","HospitalUnit",,,0,0,
8,"GYOP","HospitalUnit",,,0,0,
9,"HAOP","HospitalUnit",,,0,0,
10,"AOST","HospitalUnit",,,0,0,
11,"LAOP","HospitalUnit",,,0,0,
12,"HCOP","HospitalUnit",,,0,0,
13,"UROP","HospitalUnit",,,0,0,
14,"KGOP","HospitalUnit",,,0,0,
15,"MVImporter","Importer",,,0,0,
166,"Harnelphor Alpha1-Globuline (ZL)","Laboratory",,"%",0,0,
167,"Harnelphor Alpha2-Globuline (ZL)","Laboratory",,"None",0,0,
168,"Alpha-1-Globuline (ZL)","Laboratory",,"None",0,0,
169,"Alpha-2-Globuline (ZL)","Laboratory",,"None",0,0,
170,"ADAMTS-13 (ZL)","Laboratory",,"None",0,0,
171,"Albumin (ZL)","Laboratory",,"%",0,0,
172,"Harnelektrophorese/Albumin (ZL)","Laboratory",,"%",0,0,
173,"Antithrombin III (ZL)","Laboratory",,"%",0,0,
174,"Basophile (ZL)","Laboratory",,"%",0,0,
175,"Basophile, Handdiff. (ZL)","Laboratory",,"%",0,0,
176,"Beta-1-Globuline (ZL)","Laboratory",,"%",0,0,
177,"Beta-2-Globuline (ZL)","Laboratory",,"%",0,0,
178,"Harnelphor Beta-Globuline (ZL)","Laboratory",,"%",0,0,
179,"Frakt.CO-Hämoglobin (ZL)","Laboratory",,"%",0,0,
180,"Frakt.Deoxy-Hämoglobin (ZL)","Laboratory",,"%",0,0,
181,"Frakt.Met-Hämoglobin (ZL)","Laboratory",,"%",0,0,
182,"Frakt.Oxyhämoglobin (ZL)","Laboratory",,"%",0,0,
183,"Hämatokrit (BG) (ZL)","Laboratory",,"%",0,0,
184,"sO2 (ZL)","Laboratory",,"%",0,0,
185,"Blasten (ZL)","Laboratory",,"%",0,0,
186,"C-1-Inhibitor (Aktivität) (ZL)","Laboratory",,"%",0,0,
187,"Kollagen Bindungsaktivität (ZL)","Laboratory",,"%",0,0,
188,"CD16+CD56+/NK-Zellen (ZL)","Laboratory",,"%",0,0,
189,"CD19+/B-Lymphocyten (ZL)","Laboratory",,"%",0,0,
190,"CD3+/T-Lymphocyten (ZL)","Laboratory",,"%",0,0,
191,"CD3+CD4+/T-Helperzellen (ZL)","Laboratory",,"%",0,0,
192,"CD3+CD8+/T-Suppressorzellen (ZL)","Laboratory",,"%",0,0,
193,"HLADR pos.T-Lymphocyten (ZL)","Laboratory",,"%",0,0,
194,"Karbohydrat-def.Transferrin (ZL)","Laboratory",,"%",0,0,
195,"CK-MB Anteil (ZL)","Laboratory",,"%",0,0,
196,"CO-Hämoglobin (ZL)","Laboratory",,"%",0,0,
197,"Eosinophile (ZL)","Laboratory",,"%",0,0,
198,"Eosinophile, Handdiff. (ZL)","Laboratory",,"%",0,0,
199,"Dysmorphe Ery im Sediment (ZL)","Laboratory",,"%",0,0,
200,"Fraktionelle HST-Ausscheidung (ZL)","Laboratory",,"%",0,0,
201,"Fraktionelle Na-Ausscheidung (ZL)","Laboratory",,"%",0,0,
202,"Faktor II (ZL)","Laboratory",,"%",0,0,
203,"Faktor IX (ZL)","Laboratory",,"%",0,0,
204,"Faktor V (ZL)","Laboratory",,"%",0,0,
205,"Faktor VII (ZL)","Laboratory",,"%",0,0,
206,"Faktor VIII (ZL)","Laboratory",,"%",0,0,
207,"Faktor X (ZL)","Laboratory",,"%",0,0,
208,"Faktor XI (ZL)","Laboratory",,"%",0,0,
209,"Faktor XII (ZL)","Laboratory",,"%",0,0,
210,"Faktor XIII (ZL)","Laboratory",,"%",0,0,
211,"Gamma-Globuline (ZL)","Laboratory",,"%",0,0,
212,"Harnelphor Gamma-Globuline (ZL)","Laboratory",,"%",0,0,
213,"Hämoglobin A (ZL)","Laboratory",,"%",0,0,
214,"HbA1c (ZL)","Laboratory",,"%",0,0,
215,"Hämoglobin A2 (ZL)","Laboratory",,"%",0,0,
216,"Hämoglobin F (ZL)","Laboratory",,"%",0,0,
217,"Hämatokrit (ZL)","Laboratory",,"%",0,0,
218,"LDH-Isoenzym 1 (ZL)","Laboratory",,"%",0,0,
219,"LDH-Isoenzym 2 (ZL)","Laboratory",,"%",0,0,
220,"LDH-Isoenzym 3 (ZL)","Laboratory",,"%",0,0,
221,"LDH-Isoenzym 4 (ZL)","Laboratory",,"%",0,0,
222,"LDH-Isoenzym 5 (ZL)","Laboratory",,"%",0,0,
223,"Lymphocyten (ZL)","Laboratory",,"%",0,0,
224,"Lymphocyten Handdiff. (ZL)","Laboratory",,"%",0,0,
225,"Metamyelocyten (ZL)","Laboratory",,"%",0,0,
226,"M-Gradient (ZL)","Laboratory",,"%",0,0,
227,"Monocyten (ZL)","Laboratory",,"%",0,0,
228,"Monocyten Handdiff. (ZL)","Laboratory",,"%",0,0,
229,"Myelocyten (ZL)","Laboratory",,"%",0,0,
230,"Neutrophile Granulocyten (ZL)","Laboratory",,"%",0,0,
231,"Neutr.Granulocyten Handdiff. (ZL)","Laboratory",,"%",0,0,
232,"Plasmazellen (ZL)","Laboratory",,"%",0,0,
233,"Promyelocyten (ZL)","Laboratory",,"%",0,0,
234,"Protein C (ZL)","Laboratory",,"%",0,0,
235,"Protein S (ZL)","Laboratory",,"%",0,0,
236,"freies Protein S (ZL)","Laboratory",,"%",0,0,
237,"Prothrombingehalt (ZL)","Laboratory",,"%",0,0,
238,"Reticulocyten (ZL)","Laboratory",,"%",0,0,
239,"Ristocetin-Kofakt.Aktivität (ZL)","Laboratory",,"%",0,0,
240,"Stabkernige Handdiff. (ZL)","Laboratory",,"%",0,0,
241,"Transferrin-Sättigung (ZL)","Laboratory",,"%",0,0,
242,"Thrombozyten - Anteil unreif (ZL)","Laboratory",,"%",0,0,
243,"Thrombotest (ZL)","Laboratory",,"%",0,0,
244,"Plättchen-Reaktivitätsindex (VASP) (ZL)","Laboratory",,"%",0,0,
245,"v.Willebrand-Faktor-Antigen (ZL)","Laboratory",,"%",0,0,
246,"Kernhaltige Erythrocyten (ZL)","Laboratory",,"/100Leuko",0,0,
247,"Liquor Zellzahl (ZL)","Laboratory",,"/3/cmm",0,0,
248,"Kupfer (ZL)","Laboratory",,"µg/dl",0,0,
249,"Eisen (ZL)","Laboratory",,"µg/dl",0,0,
