source_concept_id,source_concept_name,source_concept_comment,source_concept_data_type,source_concept_statistitcal_type,source_concept_values,concepts,mapping_transformation,transformation_type,mapping_comment,mapping_confidence,mapping_documentation,concept_concept_id,concept_concept_code,concept_concept_name,concept_domain_id,concept_vocabulary_id,concept_concept_class_id,concept_standard_concept,unit_concept_id,unit_concept_code,unit_concept_name,unit_domain_id,unit_vocabulary_id,unit_concept_class_id,type_concept_id,type_concept_code,type_concept_name,type_domain_id,type_vocabulary_id,type_concept_class_id
171,Albumin (ZL),,decimal,interval,null,"[{""property_name"": ""concept"", ""concept_id"": ""3024561"", ""concept_code"": ""1751-7"", ""concept_name"": ""Albumin [Mass/volume] in Serum or Plasma"", ""domain_id"": ""Measurement"", ""vocabulary_id"": ""LOINC"", ""concept_class_id"": ""Lab Test"", ""standard_concept"": ""S""}, {""property_name"": ""unit"", ""concept_id"": ""8554"", ""concept_code"": ""%"", ""concept_name"": ""percent"", ""domain_id"": ""Unit"", ""vocabulary_id"": ""UCUM"", ""concept_class_id"": ""Unit""}, {""property_name"": ""type"", ""concept_id"": ""32856"", ""concept_code"": ""OMOP4976929"", ""concept_name"": ""Lab"", ""domain_id"": ""Type Concept"", ""vocabulary_id"": ""Type Concept"", ""concept_class_id"": ""Type Concept""}]",return value,ast,comm,4,,3024561,1751-7,Albumin [Mass/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,8554,%,percent,Unit,UCUM,Unit,32856,OMOP4976929,Lab,Type Concept,Type Concept,Type Concept
174,Basophile (ZL),,decimal,interval,null,"[{""concept_id"": 3022096, ""concept_name"": ""Basophils/Leukocytes in Blood"", ""domain_id"": ""Measurement"", ""vocabulary_id"": ""LOINC"", ""concept_class_id"": ""Lab Test"", ""standard_concept"": ""S"", ""concept_code"": ""30180-4"", ""valid_start_date"": 19700101, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""concept""}, {""concept_id"": 8552, ""concept_name"": ""Unknown"", ""domain_id"": ""Race"", ""vocabulary_id"": ""Race"", ""concept_class_id"": ""Race"", ""standard_concept"": null, ""concept_code"": ""UNK"", ""valid_start_date"": 19700101, ""valid_end_date"": 20140731, ""invalid_reason"": ""D"", ""heat"": """", ""property_name"": ""unit""}, {""concept_id"": 32856, ""concept_name"": ""Lab"", ""domain_id"": ""Type Concept"", ""vocabulary_id"": ""Type Concept"", ""concept_class_id"": ""Type Concept"", ""standard_concept"": ""S"", ""concept_code"": ""OMOP4976929"", ""valid_start_date"": 20200820, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""type""}]",,ast,imported,4,,3022096,30180-4,Basophils/Leukocytes in Blood,Measurement,LOINC,Lab Test,S,8552,UNK,Unknown,Race,Race,Race,32856,OMOP4976929,Lab,Type Concept,Type Concept,Type Concept
173,Antithrombin III (ZL),,decimal,interval,null,"[{""property_name"": ""concept"", ""concept_id"": ""4145124"", ""concept_code"": ""34086003"", ""concept_name"": ""Antithrombin III"", ""domain_id"": ""Drug"", ""vocabulary_id"": ""SNOMED"", ""concept_class_id"": ""Substance""}, {""property_name"": ""unit"", ""concept_id"": ""8554"", ""concept_code"": ""%"", ""concept_name"": ""percent"", ""domain_id"": ""Unit"", ""vocabulary_id"": ""UCUM"", ""concept_class_id"": ""Unit""}, {""property_name"": ""type"", ""concept_id"": ""32856"", ""concept_code"": ""OMOP4976929"", ""concept_name"": ""Lab"", ""domain_id"": ""Type Concept"", ""vocabulary_id"": ""Type Concept"", ""concept_class_id"": ""Type Concept""}]",return value,ast,,5,,4145124,34086003,Antithrombin III,Drug,SNOMED,Substance,,8554,%,percent,Unit,UCUM,Unit,32856,OMOP4976929,Lab,Type Concept,Type Concept,Type Concept
175,"Basophile, Handdiff. (ZL)",,decimal,interval,null,"[{""concept_id"": 3009797, ""concept_name"": ""Basophils/Leukocytes in Blood by Manual count"", ""domain_id"": ""Measurement"", ""vocabulary_id"": ""LOINC"", ""concept_class_id"": ""Lab Test"", ""standard_concept"": ""S"", ""concept_code"": ""707-0"", ""valid_start_date"": 19700101, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""concept""}, {""concept_id"": 8552, ""concept_name"": ""Unknown"", ""domain_id"": ""Race"", ""vocabulary_id"": ""Race"", ""concept_class_id"": ""Race"", ""standard_concept"": null, ""concept_code"": ""UNK"", ""valid_start_date"": 19700101, ""valid_end_date"": 20140731, ""invalid_reason"": ""D"", ""heat"": """", ""property_name"": ""unit""}, {""concept_id"": 32856, ""concept_name"": ""Lab"", ""domain_id"": ""Type Concept"", ""vocabulary_id"": ""Type Concept"", ""concept_class_id"": ""Type Concept"", ""standard_concept"": ""S"", ""concept_code"": ""OMOP4976929"", ""valid_start_date"": 20200820, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""type""}]",,ast,imported,4,,3009797,707-0,Basophils/Leukocytes in Blood by Manual count,Measurement,LOINC,Lab Test,S,8552,UNK,Unknown,Race,Race,Race,32856,OMOP4976929,Lab,Type Concept,Type Concept,Type Concept
185,Blasten (ZL),,decimal,interval,null,"[{""concept_id"": 3023643, ""concept_name"": ""Blasts/Leukocytes in Blood by Manual count"", ""domain_id"": ""Measurement"", ""vocabulary_id"": ""LOINC"", ""concept_class_id"": ""Lab Test"", ""standard_concept"": ""S"", ""concept_code"": ""709-6"", ""valid_start_date"": 19700101, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""concept""}, {""concept_id"": 8552, ""concept_name"": ""Unknown"", ""domain_id"": ""Race"", ""vocabulary_id"": ""Race"", ""concept_class_id"": ""Race"", ""standard_concept"": null, ""concept_code"": ""UNK"", ""valid_start_date"": 19700101, ""valid_end_date"": 20140731, ""invalid_reason"": ""D"", ""heat"": """", ""property_name"": ""unit""}, {""concept_id"": 32856, ""concept_name"": ""Lab"", ""domain_id"": ""Type Concept"", ""vocabulary_id"": ""Type Concept"", ""concept_class_id"": ""Type Concept"", ""standard_concept"": ""S"", ""concept_code"": ""OMOP4976929"", ""valid_start_date"": 20200820, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""type""}]",,ast,imported,4,,3023643,709-6,Blasts/Leukocytes in Blood by Manual count,Measurement,LOINC,Lab Test,S,8552,UNK,Unknown,Race,Race,Race,32856,OMOP4976929,Lab,Type Concept,Type Concept,Type Concept
186,C-1-Inhibitor (Aktivität) (ZL),,decimal,interval,null,"[{""concept_id"": 3003245, ""concept_name"": ""Complement C1 esterase inhibitor [Mass/volume] in Serum or Plasma"", ""domain_id"": ""Measurement"", ""vocabulary_id"": ""LOINC"", ""concept_class_id"": ""Lab Test"", ""standard_concept"": ""S"", ""concept_code"": ""4477-6"", ""valid_start_date"": 19700101, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""concept""}, {""concept_id"": 8552, ""concept_name"": ""Unknown"", ""domain_id"": ""Race"", ""vocabulary_id"": ""Race"", ""concept_class_id"": ""Race"", ""standard_concept"": null, ""concept_code"": ""UNK"", ""valid_start_date"": 19700101, ""valid_end_date"": 20140731, ""invalid_reason"": ""D"", ""heat"": """", ""property_name"": ""unit""}, {""concept_id"": 32856, ""concept_name"": ""Lab"", ""domain_id"": ""Type Concept"", ""vocabulary_id"": ""Type Concept"", ""concept_class_id"": ""Type Concept"", ""standard_concept"": ""S"", ""concept_code"": ""OMOP4976929"", ""valid_start_date"": 20200820, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""type""}]",,ast,imported,4,,3003245,4477-6,Complement C1 esterase inhibitor [Mass/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,8552,UNK,Unknown,Race,Race,Race,32856,OMOP4976929,Lab,Type Concept,Type Concept,Type Concept
3055,ACT,,decimal,interval,null,"[{""concept_id"": 21492964, ""concept_name"": ""Activated clotting time (ACT) of Blood induced by Kaolin"", ""domain_id"": ""Measurement"", ""vocabulary_id"": ""LOINC"", ""concept_class_id"": ""Lab Test"", ""standard_concept"": ""S"", ""concept_code"": ""80659-6"", ""valid_start_date"": 20160624, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""concept""}, {""concept_id"": 8555, ""concept_name"": ""second"", ""domain_id"": ""Unit"", ""vocabulary_id"": ""UCUM"", ""concept_class_id"": ""Unit"", ""standard_concept"": ""S"", ""concept_code"": ""s"", ""valid_start_date"": 19700101, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""unit""}, {""concept_id"": 32856, ""concept_name"": ""Lab"", ""domain_id"": ""Type Concept"", ""vocabulary_id"": ""Type Concept"", ""concept_class_id"": ""Type Concept"", ""standard_concept"": ""S"", ""concept_code"": ""OMOP4976929"", ""valid_start_date"": 20200820, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""type""}]",,ast,imported,4,,21492964,80659-6,Activated clotting time (ACT) of Blood induced by Kaolin,Measurement,LOINC,Lab Test,S,8555,s,second,Unit,UCUM,Unit,32856,OMOP4976929,Lab,Type Concept,Type Concept,Type Concept
224,Lymphocyten Handdiff. (ZL),,decimal,interval,null,"[{""concept_id"": 3038058, ""concept_name"": ""Lymphocytes/Leukocytes in Blood by Manual count"", ""domain_id"": ""Measurement"", ""vocabulary_id"": ""LOINC"", ""concept_class_id"": ""Lab Test"", ""standard_concept"": ""S"", ""concept_code"": ""737-7"", ""valid_start_date"": 19700101, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""concept""}, {""concept_id"": 8552, ""concept_name"": ""Unknown"", ""domain_id"": ""Race"", ""vocabulary_id"": ""Race"", ""concept_class_id"": ""Race"", ""standard_concept"": null, ""concept_code"": ""UNK"", ""valid_start_date"": 19700101, ""valid_end_date"": 20140731, ""invalid_reason"": ""D"", ""heat"": """", ""property_name"": ""unit""}, {""concept_id"": 32856, ""concept_name"": ""Lab"", ""domain_id"": ""Type Concept"", ""vocabulary_id"": ""Type Concept"", ""concept_class_id"": ""Type Concept"", ""standard_concept"": ""S"", ""concept_code"": ""OMOP4976929"", ""valid_start_date"": 20200820, ""valid_end_date"": 20991231, ""invalid_reason"": null, ""heat"": """", ""property_name"": ""type""}]",,ast,imported,4,,3038058,737-7,Lymphocytes/Leukocytes in Blood by Manual count,Measurement,LOINC,Lab Test,S,8552,UNK,Unknown,Race,Race,Race,32856,OMOP4976929,Lab,Type Concept,Type Concept,Type Concept
cases.Sex,Sex,,text,nominal,"[[""cases.Sex.female"", ""736_female""], [""cases.Sex.male"", ""735_male""]]","[{""property_name"": ""concept"", ""concept_id"": ""4135376"", ""concept_code"": ""263495000"", ""concept_name"": ""Gender"", ""domain_id"": ""Observation"", ""vocabulary_id"": ""SNOMED"", ""concept_class_id"": ""Observable Entity"", ""standard_concept"": ""S""}]",return value,ast,,5,,4135376,263495000,Gender,Observation,SNOMED,Observable Entity,S,,,,,,,,,,,,
cases.Sex.male,male,,text,,null,"[{""property_name"": ""concept"", ""concept_id"": ""45766034"", ""concept_code"": ""703117000"", ""concept_name"": ""Masculine gender"", ""domain_id"": ""Observation"", ""vocabulary_id"": ""SNOMED"", ""concept_class_id"": ""Clinical Finding""}]",return value,ast,,5,,45766034,703117000,Masculine gender,Observation,SNOMED,Clinical Finding,,,,,,,,,,,,,
